created_at,district,established_year,has_computer_lab,internet_connectivity,is_active,pincode,primary_language,school_id,school_name,school_type,state,student_capacity
2023-07-07T12:48:00.000Z,Bhopal,2015,false,mobile_data,true,488352,English,190,Bhopal Kendriya Vidyalaya No. 190,Kendriya,Madhya Pradesh,1676
2022-11-06T10:42:00.000Z,Pune,2006,true,limited,true,447914,Hindi,191,Pune Navodaya Vidyalaya No. 191,Navodaya,Maharashtra,779
2023-11-27T19:35:00.000Z,Warangal,1973,false,limited,true,549387,Regional,192,Warangal Kendriya Vidyalaya No. 192,Kendriya,Telangana,863
2023-01-21T11:48:00.000Z,Thiruvananthapuram,1994,false,mobile_data,true,694320,Hindi,193,Thiruvananthapuram Municipal School No. 193,Municipal,Kerala,1674
2023-03-03T22:08:00.000Z,Karimnagar,2015,true,mobile_data,true,539536,English,194,Karimnagar Government Secondary School No. 194,Government,Telangana,915
2022-07-15T07:17:00.000Z,Jodhpur,2011,true,mobile_data,true,336651,Hindi,195,Jodhpur Municipal School No. 195,Municipal,Rajasthan,976
2022-08-02T16:19:00.000Z,Ajmer,1982,false,limited,true,315183,Hindi,196,Ajmer Navodaya Vidyalaya No. 196,Navodaya,Rajasthan,449
2022-09-03T16:49:00.000Z,Pune,2000,false,limited,true,425376,Regional,197,Pune Government Secondary School No. 197,Government,Maharashtra,1829
2023-04-26T16:58:00.000Z,Agra,1992,true,mobile_data,true,279946,Regional,198,Agra Kendriya Vidyalaya No. 198,Kendriya,Uttar Pradesh,1628
2023-08-22T19:18:00.000Z,Vadodara,2006,false,limited,true,364254,English,199,Vadodara Municipal School No. 199,Municipal,Gujarat,393
2022-09-21T21:46:00.000Z,Coimbatore,2006,false,mobile_data,true,640149,Hindi,200,Coimbatore Municipal School No. 200,Municipal,Tamil Nadu,1077
